year,user_tier,genre,number_of_users,tracks_listened
2018,Free,Pop,80,1500
2018,Paid,Pop,40,3000
2018,Free,Hip-Hop,70,1100
2018,Paid,Hip-Hop,30,2500
2018,Free,Indie,95,1600
2018,Paid,Indie,45,3000
2018,Free,Rock,65,1800
2018,Paid,Rock,40,2500
2018,Free,Electronic,50,900
2018,Paid,Electronic,25,1800
2019,Free,Pop,110,2200
2019,Paid,Pop,55,3400
2019,Free,Hip-Hop,80,1200
2019,Paid,Hip-Hop,35,2600
2019,Free,Indie,120,1900
2019,Paid,Indie,60,3300
2019,Free,Rock,85,2400
2019,Paid,Rock,50,3000
2019,Free,Electronic,60,1100
2019,Paid,Electronic,30,2400
2020,Free,Pop,90,2000
2020,Paid,Pop,45,3800
2020,Free,Hip-Hop,70,1300
2020,Paid,Hip-Hop,40,2600
2020,Free,Indie,100,1800
2020,Paid,Indie,50,3500
2020,Free,Rock,80,2200
2020,Paid,Rock,60,3200
2020,Free,Electronic,70,1200
2020,Paid,Electronic,35,2600
2021,Free,Pop,130,2400
2021,Paid,Pop,65,4000
2021,Free,Hip-Hop,95,1800
2021,Paid,Hip-Hop,45,3100
2021,Free,Indie,110,2200
2021,Paid,Indie,70,3700
2021,Free,Rock,100,2600
2021,Paid,Rock,75,3500
2021,Free,Electronic,90,1300
2021,Paid,Electronic,45,2800
2022,Free,Pop,110,3000
2022,Paid,Pop,80,4500
2022,Free,Hip-Hop,90,2000
2022,Paid,Hip-Hop,60,3200
2022,Free,Indie,120,2500
2022,Paid,Indie,70,5000
2022,Free,Rock,80,3000
2022,Paid,Rock,50,4200
2022,Free,Electronic,70,1400
2022,Paid,Electronic,40,2800
2023,Free,Pop,90,3200
2023,Paid,Pop,60,5000
2023,Free,Hip-Hop,100,2300
2023,Paid,Hip-Hop,50,3800
2023,Free,Indie,120,2800
2023,Paid,Indie,80,5500
2023,Free,Rock,100,3700
2023,Paid,Rock,60,4800
2023,Free,Electronic,80,2200
2023,Paid,Electronic,45,3500
